192.168.1.14,192.168.1.14,59341,5355,58,1
192.168.2.10,192.168.2.10,2711,51390,46,1
192.168.3.131,192.168.3.131,51390,2711,52,1
192.168.1.11,192.168.1.11,50947,5355,110,2
192.168.1.11,192.168.1.11,58080,5355,110,2
192.168.1.11,192.168.1.11,62808,5355,55,1
192.168.2.10,192.168.2.10,2503,51394,46,1
192.168.3.131,192.168.3.131,51394,2503,52,1
192.168.1.11,192.168.1.11,57072,5355,110,2
192.168.1.11,192.168.1.11,49529,5355,55,1
192.168.1.11,192.168.1.11,65063,5355,110,2
192.168.1.11,192.168.1.11,57854,5355,110,2
192.168.2.10,192.168.2.10,2919,51396,46,1
192.168.3.131,192.168.3.131,51396,2919,52,1
192.168.0.14,192.168.0.14,56884,5355,55,1
192.168.0.180,192.168.0.180,138,138,229,1
192.168.2.10,192.168.2.10,2919,51384,46,1
192.168.1.231,192.168.1.231,1025,161,318,3
192.168.1.14,192.168.1.14,51174,5355,55,1
192.168.2.10,192.168.2.10,2711,51244,46,1
192.168.3.131,192.168.3.131,51244,2711,52,1
192.168.2.10,192.168.2.10,2503,51249,46,1
192.168.3.131,192.168.3.131,51249,2503,52,1
192.168.1.14,192.168.1.14,53121,5355,55,1
192.168.0.14,192.168.0.14,49945,5355,110,2
192.168.0.14,192.168.0.14,60604,5355,110,2
192.168.1.14,192.168.1.14,54065,5355,55,1
192.168.1.14,192.168.1.14,61366,5355,55,1
192.168.2.10,192.168.2.10,2919,51252,46,1
192.168.3.131,192.168.3.131,51252,2919,52,1
192.168.0.177,192.168.0.177,138,138,229,1
192.168.2.10,192.168.2.10,2711,51255,46,1
192.168.1.11,192.168.1.11,62747,5355,110,2
192.168.1.11,192.168.1.11,58049,5355,55,1
192.168.1.11,192.168.1.11,50674,5355,110,2
192.168.1.11,192.168.1.11,51421,5355,55,1
192.168.2.10,192.168.2.10,2503,51258,46,1
192.168.3.131,192.168.3.131,51258,2503,52,1
192.168.2.10,192.168.2.10,2919,51262,46,1
192.168.3.131,192.168.3.131,51262,2919,52,1
192.168.2.10,192.168.2.10,2711,51333,46,1
192.168.1.250,192.168.1.250,138,138,238,1
192.168.0.178,192.168.0.178,138,138,229,1
192.168.2.10,192.168.2.10,2503,51338,46,1
192.168.1.182,192.168.1.182,138,138,503,2
192.168.2.10,192.168.2.10,2919,51341,46,1
192.168.3.131,192.168.3.131,51341,2919,52,1
192.168.2.10,192.168.2.10,2711,51344,46,1
192.168.3.131,192.168.3.131,51344,2711,52,1
192.168.1.11,192.168.1.11,59536,5355,110,2
192.168.1.11,192.168.1.11,64766,5355,55,1
192.168.1.11,192.168.1.11,57714,5355,55,1
