Destination Address,,,
Total number of records: 243898,,,
Key,# Records,Probability (count/totalcount),Entropy (-log_2(probability)))
771,12,4.92E-05,14.3109559
2056,10,4.10E-05,14.57399031
51707,9,3.69E-05,14.7259934
25701,9,3.69E-05,14.7259934
32400,9,3.69E-05,14.7259934
993,8,3.28E-05,14.8959184
2304,6,2.46E-05,15.3109559
40022,6,2.46E-05,15.3109559
52580,5,2.05E-05,15.57399031
5671,5,2.05E-05,15.57399031
5101,5,2.05E-05,15.57399031
61346,4,1.64E-05,15.8959184
50452,4,1.64E-05,15.8959184
20100,4,1.64E-05,15.8959184
49688,4,1.64E-05,15.8959184
40027,4,1.64E-05,15.8959184
44515,4,1.64E-05,15.8959184
61362,4,1.64E-05,15.8959184
50444,4,1.64E-05,15.8959184
60706,4,1.64E-05,15.8959184
50209,4,1.64E-05,15.8959184
5002,4,1.64E-05,15.8959184
22,4,1.64E-05,15.8959184
51795,4,1.64E-05,15.8959184
60893,4,1.64E-05,15.8959184
60708,4,1.64E-05,15.8959184
49908,4,1.64E-05,15.8959184
49717,4,1.64E-05,15.8959184
60712,3,1.23E-05,16.3109559
59638,3,1.23E-05,16.3109559
60852,3,1.23E-05,16.3109559
50453,3,1.23E-05,16.3109559
60827,3,1.23E-05,16.3109559
50324,3,1.23E-05,16.3109559
61376,3,1.23E-05,16.3109559
60700,3,1.23E-05,16.3109559
60718,3,1.23E-05,16.3109559
51317,3,1.23E-05,16.3109559
50349,3,1.23E-05,16.3109559
61705,3,1.23E-05,16.3109559
60892,3,1.23E-05,16.3109559
50210,3,1.23E-05,16.3109559
64782,3,1.23E-05,16.3109559
49938,3,1.23E-05,16.3109559
50584,3,1.23E-05,16.3109559
60926,3,1.23E-05,16.3109559
61094,3,1.23E-05,16.3109559
60732,3,1.23E-05,16.3109559
51092,3,1.23E-05,16.3109559
49741,3,1.23E-05,16.3109559
60314,3,1.23E-05,16.3109559
60724,3,1.23E-05,16.3109559
60470,3,1.23E-05,16.3109559
60618,3,1.23E-05,16.3109559
2343,3,1.23E-05,16.3109559
51093,3,1.23E-05,16.3109559
60765,3,1.23E-05,16.3109559
61724,3,1.23E-05,16.3109559
49907,3,1.23E-05,16.3109559
62022,3,1.23E-05,16.3109559
63147,3,1.23E-05,16.3109559
51323,3,1.23E-05,16.3109559
50140,3,1.23E-05,16.3109559
50731,3,1.23E-05,16.3109559
49837,3,1.23E-05,16.3109559
61707,3,1.23E-05,16.3109559
61096,3,1.23E-05,16.3109559
60761,3,1.23E-05,16.3109559
60837,3,1.23E-05,16.3109559
63148,3,1.23E-05,16.3109559
50396,3,1.23E-05,16.3109559
50390,3,1.23E-05,16.3109559
60767,3,1.23E-05,16.3109559
64871,3,1.23E-05,16.3109559
63221,3,1.23E-05,16.3109559
49944,3,1.23E-05,16.3109559
60152,3,1.23E-05,16.3109559
60138,3,1.23E-05,16.3109559
61134,3,1.23E-05,16.3109559
56406,3,1.23E-05,16.3109559
60769,3,1.23E-05,16.3109559
60449,3,1.23E-05,16.3109559
60447,3,1.23E-05,16.3109559
61823,3,1.23E-05,16.3109559
61158,3,1.23E-05,16.3109559
60726,3,1.23E-05,16.3109559
40016,3,1.23E-05,16.3109559
60722,3,1.23E-05,16.3109559
61071,3,1.23E-05,16.3109559
60377,3,1.23E-05,16.3109559
50141,3,1.23E-05,16.3109559
61169,3,1.23E-05,16.3109559
50458,3,1.23E-05,16.3109559
61458,3,1.23E-05,16.3109559
60154,3,1.23E-05,16.3109559
60383,3,1.23E-05,16.3109559
50439,3,1.23E-05,16.3109559
61221,3,1.23E-05,16.3109559
60763,3,1.23E-05,16.3109559
8080,3,1.23E-05,16.3109559
49906,3,1.23E-05,16.3109559
61280,3,1.23E-05,16.3109559
60720,3,1.23E-05,16.3109559
60417,3,1.23E-05,16.3109559
49922,3,1.23E-05,16.3109559
60710,3,1.23E-05,16.3109559
60826,3,1.23E-05,16.3109559
63324,3,1.23E-05,16.3109559
63593,3,1.23E-05,16.3109559
61348,3,1.23E-05,16.3109559
60134,3,1.23E-05,16.3109559
61645,3,1.23E-05,16.3109559
60942,3,1.23E-05,16.3109559
60716,3,1.23E-05,16.3109559
60476,3,1.23E-05,16.3109559
50338,3,1.23E-05,16.3109559
50387,3,1.23E-05,16.3109559
135,3,1.23E-05,16.3109559
65125,3,1.23E-05,16.3109559
50435,3,1.23E-05,16.3109559
60815,3,1.23E-05,16.3109559
60223,3,1.23E-05,16.3109559
51120,3,1.23E-05,16.3109559
60164,3,1.23E-05,16.3109559
52861,3,1.23E-05,16.3109559
60140,3,1.23E-05,16.3109559
61479,3,1.23E-05,16.3109559
60286,2,8.20E-06,16.8959184
60532,2,8.20E-06,16.8959184
60567,2,8.20E-06,16.8959184
64313,2,8.20E-06,16.8959184
51105,2,8.20E-06,16.8959184
50641,2,8.20E-06,16.8959184
60234,2,8.20E-06,16.8959184
49543,2,8.20E-06,16.8959184
63468,2,8.20E-06,16.8959184
62588,2,8.20E-06,16.8959184
65433,2,8.20E-06,16.8959184
61491,2,8.20E-06,16.8959184
64649,2,8.20E-06,16.8959184
49898,2,8.20E-06,16.8959184
50372,2,8.20E-06,16.8959184
50466,2,8.20E-06,16.8959184
60274,2,8.20E-06,16.8959184
50600,2,8.20E-06,16.8959184
49791,2,8.20E-06,16.8959184
51314,2,8.20E-06,16.8959184
60581,2,8.20E-06,16.8959184
55253,2,8.20E-06,16.8959184
55302,2,8.20E-06,16.8959184
60401,2,8.20E-06,16.8959184
50171,2,8.20E-06,16.8959184
60435,2,8.20E-06,16.8959184
64903,2,8.20E-06,16.8959184
51244,2,8.20E-06,16.8959184
6978,2,8.20E-06,16.8959184
